Staunton,2011-2012,2345947,96.85,119.83
Suffolk,2011-2012,5312121,61.99,76.70
VirginiaBeach,2011-2012,20458232,46.36,57.37
Waynesboro,2011-2012,1941236,92.01,113.84
Williamsburg,2011-2012,652508,45.77,56.63
Winchester,2011-2012,1762070,67.34,83.32
Accomack,2011-2012,2555580,76.66,108.53
Albemarle,2011-2012,8289201,82.25,116.44
Alleghany,2011-2012,1411093,87.21,123.47
Amelia,2011-2012,1177441,91.69,129.81
Amherst,2011-2012,1925810,59.26,83.90
Appomattox,2011-2012,945792,62.96,89.14
Arlington,2011-2012,19446158,90.71,128.42
Augusta,2011-2012,3790509,51.37,72.72
Bath,2011-2012,380094,79.24,112.17
Bedford,2011-2012,3224111,46.47,65.79
Bland,2011-2012,468193,69.38,98.22
Botetourt,2011-2012,2052228,61.45,86.99
Brunswick,2011-2012,705707,40.56,57.42
Buchanan,2011-2012,1746830,72.77,103.01
Buckingham,2011-2012,1114582,65.02,92.04
Campbell,2011-2012,3601625,65.77,93.11
Caroline,2011-2012,1016457,35.26,49.92
Carroll,2011-2012,1589730,53.44,75.65
CharlesCity,2011-2012,769473,105.55,149.43
Charlotte,2011-2012,1246562,99.21,140.45
Chesterfield,2011-2012,21064725,65.90,93.30
Clarke,2011-2012,1324186,93.18,131.91
Craig,2011-2012,522472,99.69,141.13
Culpeper,2011-2012,3029807,64.27,90.98
Cumberland,2011-2012,1001374,99.15,140.36
Dickenson,2011-2012,1784493,113.21,160.28
Dinwiddie,2011-2012,1893340,67.58,95.67
Essex,2011-2012,1055360,93.50,132.37
Fairfax,2011-2012,78955468,72.04,101.98
Fauquier,2011-2012,4468041,67.92,96.16
Floyd,2011-2012,713888,46.10,65.27
Fluvanna,2011-2012,1258553,48.43,68.56
Franklin,2011-2012,2203616,39.14,55.41
Frederick,2011-2012,5239701,66.19,93.71
Giles,2011-2012,840958,48.67,68.90
Gloucester,2011-2012,2228367,60.25,85.29
Goochland,2011-2012,1195950,54.98,77.83
Grayson,2011-2012,750356,48.50,68.67
Greene,2011-2012,1284082,67.43,95.47
Greensville,2011-2012,517902,42.69,60.44
Halifax,2011-2012,2056218,56.83,80.45
Hanover,2011-2012,8909127,88.47,125.24
Henrico,2011-2012,13633247,43.87,62.11
Henry,2011-2012,2433994,45.19,63.97
Highland,2011-2012,152251,66.34,93.92
IsleofWight,2011-2012,2064872,58.24,82.44
JamesCity,2011-2012,6287819,91.29,129.24
King&Queen,2011-2012,683508,96.97,137.27
KingGeorge,2011-2012,932882,39.98,56.60
KingWilliam,2011-2012,1249074,77.30,109.43
Lancaster,2011-2012,944194,82.37,116.61
Lee,2011-2012,2182652,85.01,120.34
Loudoun,2011-2012,42536758,131.15,185.67
Louisa,2011-2012,2096666,62.67,88.72
Lunenburg,2011-2012,754550,58.19,82.38
Madison,2011-2012,770033,57.36,81.21
Mathews,2011-2012,765910,85.70,121.33
Mecklenburg,2011-2012,1490703,45.26,64.08
Middlesex,2011-2012,714253,64.55,91.38
Montgomery,2011-2012,3156664,33.23,47.04
Nelson,2011-2012,1177996,78.05,110.50
NewKent,2011-2012,2022061,107.40,152.05
Northampton,2011-2012,1852364,148.99,210.92
Northumberland,2011-2012,634648,50.98,72.17
Nottoway,2011-2012,1071892,67.38,95.40
Orange,2011-2012,1502071,44.55,63.07
Page,2011-2012,1758212,72.79,103.05
Patrick,2011-2012,1043355,55.99,79.26
Pittsylvania,2011-2012,3207689,50.93,72.10
Powhatan,2011-2012,1967955,69.56,98.48
PrinceEdward,2011-2012,2007068,85.34,120.82
PrinceGeorge,2011-2012,2894692,80.79,114.38
PrinceWilliam,2011-2012,33714000,81.33,115.14
Pulaski,2011-2012,1562157,45.10,63.85
Rappahannock,2011-2012,747707,100.91,142.85
Richmond,2011-2012,690618,74.77,105.85
Roanoke,2011-2012,4860517,52.44,74.24
Rockbridge,2011-2012,1096114,49.47,70.04
Rockingham,2011-2012,4525863,58.55,82.89
Russell,2011-2012,1338724,46.14,65.32
Scott,2011-2012,1254262,53.89,76.29
Shenandoah,2011-2012,2021086,47.99,67.94
Smyth,2011-2012,1431598,44.59,63.13
Southampton,2011-2012,1536882,82.12,116.26
Spotsylvania,2011-2012,9099292,73.38,103.89
Stafford,2011-2012,10004623,76.33,108.06
Surry,2011-2012,785086,112.67,159.51
Sussex,2011-2012,780221,64.72,91.62
Tazewell,2011-2012,1985765,43.86,62.09
Warren,2011-2012,1739655,46.16,65.35
Washington,2011-2012,2499460,45.30,64.13
Westmoreland,2011-2012,1162027,66.55,94.22
Wise,2011-2012,2026617,49.40,69.93
Wythe,2011-2012,1028806,35.00,49.56
York,2011-2012,6825956,103.47,146.48
Alexandria,2010-2011,17361081,124.04,167.09
Bedford,2010-2011,596843,95.92,129.22
Bristol,2010-2011,1371613,76.91,103.60
BuenaVista,2010-2011,391368,58.85,79.28
Charlottesville,2010-2011,4423568,101.75,137.07
Chesapeake,2010-2011,14816127,66.68,89.82
ColonialHeights,2010-2011,1560293,89.62,120.72
Covington,2010-2011,556477,93.35,125.76
Danville,2010-2011,3774703,87.67,118.10
Emporia,2010-2011,430259,72.59,97.79
Fairfax,2010-2011,2014492,89.28,120.26
FallsChurch,2010-2011,3046751,247.06,332.82
Franklin,2010-2011,808178,94.17,126.86
Fredericksburg,2010-2011,3234131,133.17,179.39
Galax,2010-2011,560640,79.61,107.25
Hampton,2010-2011,9509396,69.19,93.21
Harrisonburg,2010-2011,3140541,64.21,86.49
Hopewell,2010-2011,2094846,92.73,124.92
Lexington,2010-2011,368084,52.27,70.41
Lynchburg,2010-2011,4579726,60.60,81.64
Manassas,2010-2011,3740449,98.90,133.23
ManassasPark,2010-2011,1086846,76.15,102.58
Martinsville,2010-2011,1623300,117.45,158.22
NewportNews,2010-2011,16833481,93.15,125.48
Norfolk,2010-2011,11989795,49.38,66.52
Norton,2010-2011,608890,153.84,207.24
Petersburg,2010-2011,2934013,90.50,121.91
Poquoson,2010-2011,1208442,99.46,133.99
Portsmouth,2010-2011,8171430,85.53,115.22
Radford,2010-2011,953787,58.13,78.31
Richmond,2010-2011,14458224,70.80,95.38
Roanoke,2010-2011,10547723,108.70,146.44
Salem,2010-2011,2321049,93.58,126.07
Staunton,2010-2011,1997526,84.12,113.32
Suffolk,2010-2011,5606032,66.28,89.28
VirginiaBeach,2010-2011,19493781,44.51,59.96
Waynesboro,2010-2011,1896922,90.30,121.65
Williamsburg,2010-2011,604330,42.96,57.87
Winchester,2010-2011,1794257,68.48,92.24
Accomack,2010-2011,2084254,62.85,89.67
Albemarle,2010-2011,8498664,85.87,122.53
Alleghany,2010-2011,1511160,92.99,132.69
Amelia,2010-2011,1100813,86.75,123.77
Amherst,2010-2011,1884080,58.24,83.09
Appomattox,2010-2011,1133555,75.71,108.02
Arlington,2010-2011,19214273,92.54,132.04
Augusta,2010-2011,3650332,49.50,70.62
Bath,2010-2011,368821,77.96,111.24
Bedford,2010-2011,3200508,46.60,66.50
Bland,2010-2011,434095,63.61,90.77
Botetourt,2010-2011,1724709,52.03,74.24
Brunswick,2010-2011,825253,47.34,67.54
Buchanan,2010-2011,1596486,66.25,94.53
Buckingham,2010-2011,1006461,58.70,83.76
Campbell,2010-2011,3666265,66.85,95.39
Caroline,2010-2011,1011259,35.43,50.55
Carroll,2010-2011,1481589,49.32,70.37
CharlesCity,2010-2011,744875,102.66,146.48
Charlotte,2010-2011,798173,63.42,90.49
Chesterfield,2010-2011,20540657,64.95,92.68
Clarke,2010-2011,1399282,99.71,142.27
Craig,2010-2011,443298,85.41,121.87
Culpeper,2010-2011,3065694,65.66,93.69
Cumberland,2010-2011,829115,82.48,117.69
Dickenson,2010-2011,1677885,105.51,150.54
Dinwiddie,2010-2011,4175410,149.12,212.77
Essex,2010-2011,893164,80.10,114.29
Fairfax,2010-2011,76481830,70.70,100.88
Fauquier,2010-2011,4545791,69.72,99.48
Floyd,2010-2011,785478,51.41,73.35
Fluvanna,2010-2011,1211330,47.15,67.28
Franklin,2010-2011,2221861,39.56,56.45
Frederick,2010-2011,5048484,64.47,91.99
Giles,2010-2011,795342,46.01,65.65
Gloucester,2010-2011,1215875,32.99,47.07
Goochland,2010-2011,1034088,47.62,67.94
Grayson,2010-2011,777504,50.05,71.42
Greene,2010-2011,1304837,70.90,101.17
Greensville,2010-2011,574315,46.91,66.93
Halifax,2010-2011,2517040,69.45,99.10
Hanover,2010-2011,8877419,88.90,126.84
Henrico,2010-2011,15231187,49.62,70.81
Henry,2010-2011,2276146,42.03,59.98
Highland,,135253,58.27,83.15
IsleofWight,2010-2011,1790707,50.77,72.44
JamesCity,2010-2011,6143017,91.67,130.81
King&Queen,2010-2011,680552,97.99,139.82
KingGeorge,2010-2011,1059998,44.95,64.13
KingWilliam,2010-2011,1228244,77.08,109.98
Lancaster,2010-2011,727871,63.90,91.17
Lee,2010-2011,2049733,80.11,114.30
Loudoun,2010-2011,38057824,121.86,173.87
Louisa,2010-2011,1734846,52.33,74.67
Lunenburg,2010-2011,679841,52.64,75.11
Madison,2010-2011,750307,56.38,80.45
Mathews,2010-2011,742924,82.75,118.07
Mecklenburg,2010-2011,1507638,46.07,65.73
Middlesex,2010-2011,374522,34.17,48.76
Montgomery,2010-2011,3608237,38.23,54.54
Nelson,2010-2011,1159411,77.19,110.14
NewKent,2010-2011,1719528,93.31,133.13
Northampton,2010-2011,1958851,158.11,225.60
Northumberland,2010-2011,559098,45.34,64.70
Nottoway,2010-2011,1235755,77.95,111.22
Orange,2010-2011,1640971,49.01,69.93
Page,2010-2011,1511500,62.87,89.71
Patrick,2010-2011,989534,53.52,76.36
Pittsylvania,2010-2011,3079723,48.49,69.20
Powhatan,2010-2011,2067916,73.73,105.21
